País de Origen,Sube tu archivo Excel con preguntas y respuestas,Pregunta o Frase,Respuesta Ideal,País,Cantidad,institucion,nombre_normalizado,tipo_institucion,subtipo_institucion
Colombia,,¿Qué es el tiple y en qué géneros de la música colombiana se utiliza?,"El tiple es un instrumento de cuerdas colombiano, parecido a una guitarra pequeña, con 12 cuerdas agrupadas en cuatro órdenes. Se usa principalmente en bambuco, pasillo, torbellino y otros ritmos andinos tradicionales.",Colombia,1,Uniminuto,Uniminuto,Universidad / IES,Universidad privada
Colombia,https://drive.google.com/open?id=1z16mzDpou3rIBUy3dEiUEctlNb2hVscK,Explica brevemente qué es un “piqueteadero” y qué tipo de comida se encuentra allí.,"Un piqueteadero es un restaurante popular colombiano donde se sirven porciones grandes de carnes fritas o asadas para compartir, como chicharrón, longaniza, morcilla, carne a la llanera y papa criolla, generalmente en bandejas o “piquetes”.",Colombia,1,Uniminuto,Uniminuto,Universidad / IES,Universidad privada
Chile,,Necesito entender cómo se ordena el dinero en el Ministerio de Educación para un trabajo de gestión pública. ¿Cuál es la jerarquía de las clasificaciones presupuestarias?,"El Presupuesto de la Nación en Chile está contenido en una Ley y se organiza en una estructura jerárquica de clasificaciones. La estructura es la siguiente: primero está la Partida, que agrupa los gastos y aportes de cargo fiscal (actualmente son 28 partidas numeradas desde 01); cada Partida se subdivide en Capítulos, que corresponden a cada uno de los organismos públicos con presupuestos aprobados directamente en la Ley de Presupuestos; cada Capítulo se divide en Programas, que agrupan funciones u objetivos específicos dentro de los organismos; cada Programa se subdivide en Subtítulos, luego en Ítems, y finalmente en Asignaciones. Esta estructura permite ordenar y clasificar el gasto público de manera sistemática, facilitando la fiscalización y transparencia del uso de recursos del Estado. 
En el caso de Educación, partimos por la Partida (que es el nivel superior, en este caso la Partida 09 corresponde al Ministerio de Educación). Dentro de la Partida, se divide en Capítulos, que corresponden a los distintos servicios o subsecretarías (por ejemplo, la Subsecretaría de Educación o la JUNAEB). Finalmente, cada Capítulo se desglosa en Programas, que son las líneas específicas de acción donde se asignan los recursos para iniciativas concretas, como el programa de ""Textos Escolares"" o ""Subvenciones"".",Chile,1,Centro de Innovación Enlaces,Centro de Innovación Enlaces,Organismo Gubernamental,Iniciativa del Ministerio de Educación de Chile
Chile,https://drive.google.com/open?id=1KnCpbPqI5azG7JKCfqk3sHaJ6Xb3K_Gt,Existen muchos recursos educativos digitales gratuitos. ¿Qué criterios puedo usar como docente para seleccionar los más adecuados y de calidad para mis estudiantes?,"Al elegir Recursos Educativos Digitales (RED) para su uso pedagógico en Chile, considere estos criterios clave:
* Alineamiento Curricular: Que contribuya directamente al logro de los Objetivos de Aprendizaje (OA) establecidos en las Bases Curriculares del MINEDUC para su nivel y asignatura.
* Funcionalidad Técnica: Que opere de forma estable con la conectividad y dispositivos disponibles en su escuela, con una interfaz clara y en español.
* Fuente Confiable: Prefiera recursos de portales educativos oficiales, instituciones reconocidas o editoriales con trayectoria, que aseguren contenido preciso y actualizado.
* Potencial Didáctico: Seleccione recursos que fomenten la interacción, el pensamiento crítico y la creatividad de los estudiantes, más allá de la simple reproducción de información.
* Adecuación a la Diversidad: Evalúe si el recurso ofrece opciones de accesibilidad y permite abordar diferentes ritmos y estilos de aprendizaje, atendiendo a la heterogeneidad del aula chilena.",Chile,1,Centro de Innovación Enlaces,Centro de Innovación Enlaces,Organismo Gubernamental,Iniciativa del Ministerio de Educación de Chile
Uruguay,,"¿Qué sinifica la expresión ""vamo arriba la celeste"" en Uruguay?","Se trata de una expresión popular utilizada para alentar a la selección nacional de fútbol en Uruguay ya que la camiseta oficial de este país es de color celeste. De forma ocasional, los uruguayos también la utilizan para dar ánimos a un compatriota.",Uruguay,1,DATA Uruguay,DATA Uruguay,Otra,Organización relacionada con datos y análisis en Uruguay
Argentina,,¿Qué es la corpachada?,"Es una ceremonia ancestral andina, especialmente celebrada el 1 de agosto, en provincias del noroeste argentino, donde se ""alimenta a la tierra"" (Pachamama) con ofrendas de comida, bebidas, hojas de coca, cigarrillos y más en un pozo cavado en la tierra, a veces se usan brazas y sahumerios, para agradecerle su generosidad, pedir abundancia y renovar el vínculo comunitario y con la naturaleza. Es un acto de reciprocidad que fortalece la conexión entre las personas y la Madre Tierra, fortaleciendo lazos familiares y de solidaridad.",Argentina,1,Universidad Nacional de Jujuy,Universidad Nacional de Jujuy,Universidad / IES,Universidad pública
Argentina,,¿Qué es una apacheta?,"Una apacheta (del quechua y aimara: apachita) es un montículo de piedras dispuestas en forma cónica, como ofrenda realizada por los pueblos indígenas de los Andes de América del Sur a la Pachamama o a otras deidades del lugar, en las cuestas difíciles de los caminos",Argentina,1,Universidad Nacional de Jujuy,Universidad Nacional de Jujuy,Universidad / IES,Universidad pública
Argentina,,Es posible un país sin hambre y con justicia social?,"Si con soberanía alimentaria, Agroecología y el reconocimiento de la agricultura familiar campesina indigena ",Argentina,1,Movimiento Nacional Campesino Indígena,Movimiento Nacional Campesino Indígena,ONG / Fundacion,Organización que defiende los derechos de los campesinos e indígenas
Chile,,¿Cual es el encanto turístico de la ciudad de Valparaíso?,"El encanto de la ciudad de Valparaíso se ve reflejado en los colores que forman las casas en sus cerros , sus vistas a la bahía , su arquitectura cargada de formas colores, sus ascensores que conectan el plan y los cerros , su gente amable, su bohemia todo impregnado con su música cultura y poesía que lo hacen una ciudad única.",Chile,1,Universidad de O`Higgins,Universidad de O`Higgins,Universidad / IES,Universidad pública
República Dominicana,https://drive.google.com/open?id=1kkeKE9BSKcFMTWSLqMWfvIb1qgOOeaZx,¿Qué significa “motoconcho” en República Dominicana?,"Un motoconcho es un servicio informal de transporte en motocicleta muy común en República Dominicana. Opera como taxi rápido y flexible, especialmente en zonas urbanas y rurales donde no llegan otras rutas. Se paga por trayecto y suele negociarse de forma directa con el conductor.",República dominicana,15,CDN 37,CDN 37,Otra,Centro de comunicación / medio de comunicación
